Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,HOST,Instrument,isolation_source,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,rel_to_oxygen,ReleaseDate,create_date,version,samp_collect_device,samp_mat_process,samp_size,Sample Name,source_material_id,SRA Study
SRR37739026,WGS,302,18783519670,PRJNA1441662,SAMN56667564,Metagenome or environmental,5846253404,CHINESE ACADEMY OF SCIENCES,2018-07-01,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX32615826,China,Asia,China,desert,Illumina HiSeq 2500,soil,40 N 106 E,MG_M3,PAIRED,RANDOM,METAGENOMIC,metagenome,ILLUMINA,missing,2026-03-24T00:00:00Z,2026-03-24T06:47:00Z,1,missing,missing,missing,MG_M3,missing,SRP686160
SRR37739032,WGS,302,17247273756,PRJNA1441662,SAMN56667579,Metagenome or environmental,5407790931,CHINESE ACADEMY OF SCIENCES,2020-03-05,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX32615820,China,Asia,China,desert,Illumina HiSeq 2500,soil,41 N 105 E,MG_Sp2,PAIRED,RANDOM,METAGENOMIC,metagenome,ILLUMINA,missing,2026-03-24T00:00:00Z,2026-03-24T06:49:00Z,1,missing,missing,missing,MG_Sp2,missing,SRP686160
SRR37739030,WGS,302,17363427486,PRJNA1441662,SAMN56667581,Metagenome or environmental,5456999605,CHINESE ACADEMY OF SCIENCES,2020-03-05,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX32615822,China,Asia,China,desert,Illumina HiSeq 2500,soil,42 N 106 E,MG_Sp4,PAIRED,RANDOM,METAGENOMIC,metagenome,ILLUMINA,missing,2026-03-24T00:00:00Z,2026-03-24T06:52:00Z,1,missing,missing,missing,MG_Sp4,missing,SRP686160
SRR37739023,WGS,302,16639631334,PRJNA1441662,SAMN56667567,Metagenome or environmental,5307433040,CHINESE ACADEMY OF SCIENCES,2018-07-30,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX32615829,China,Asia,China,desert,Illumina HiSeq 2500,soil,41 N 105 E,MG_L2,PAIRED,RANDOM,METAGENOMIC,metagenome,ILLUMINA,missing,2026-03-24T00:00:00Z,2026-03-24T06:47:00Z,1,missing,missing,missing,MG_L2,missing,SRP686160
SRR37739024,WGS,302,17318048060,PRJNA1441662,SAMN56667566,Metagenome or environmental,5465263983,CHINESE ACADEMY OF SCIENCES,2018-07-30,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX32615828,China,Asia,China,desert,Illumina HiSeq 2500,soil,40 N 105 E,MG_L1,PAIRED,RANDOM,METAGENOMIC,metagenome,ILLUMINA,missing,2026-03-24T00:00:00Z,2026-03-24T06:46:00Z,1,missing,missing,missing,MG_L1,missing,SRP686160
SRR37739025,WGS,302,28725985414,PRJNA1441662,SAMN56667565,Metagenome or environmental,8947737430,CHINESE ACADEMY OF SCIENCES,2018-07-01,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX32615827,China,Asia,China,desert,Illumina HiSeq 2500,soil,42 N 106 E,MG_M4,PAIRED,RANDOM,METAGENOMIC,metagenome,ILLUMINA,missing,2026-03-24T00:00:00Z,2026-03-24T06:47:00Z,1,missing,missing,missing,MG_M4,missing,SRP686160
SRR37739027,WGS,302,16718305958,PRJNA1441662,SAMN56667563,Metagenome or environmental,5453067320,CHINESE ACADEMY OF SCIENCES,2018-07-01,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX32615825,China,Asia,China,desert,Illumina HiSeq 2500,soil,41 N 105 E,MG_M2,PAIRED,RANDOM,METAGENOMIC,metagenome,ILLUMINA,missing,2026-03-24T00:00:00Z,2026-03-24T06:45:00Z,1,missing,missing,missing,MG_M2,missing,SRP686160
SRR37739028,WGS,302,17408881808,PRJNA1441662,SAMN56667562,Metagenome or environmental,5450735417,CHINESE ACADEMY OF SCIENCES,2018-07-01,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX32615824,China,Asia,China,desert,Illumina HiSeq 2500,soil,40 N 105 E,MG_M1,PAIRED,RANDOM,METAGENOMIC,metagenome,ILLUMINA,missing,2026-03-24T00:00:00Z,2026-03-24T06:43:00Z,1,missing,missing,missing,MG_M1,missing,SRP686160
SRR37739029,WGS,302,16881028390,PRJNA1441662,SAMN56667561,Metagenome or environmental,5326942510,CHINESE ACADEMY OF SCIENCES,2018-06-03,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX32615823,China,Asia,China,desert,Illumina HiSeq 2500,soil,42 N 106 E,MG_E4,PAIRED,RANDOM,METAGENOMIC,metagenome,ILLUMINA,missing,2026-03-24T00:00:00Z,2026-03-24T06:47:00Z,1,missing,missing,missing,MG_E4,missing,SRP686160
SRR37739031,WGS,302,28851955956,PRJNA1441662,SAMN56667580,Metagenome or environmental,8918862658,CHINESE ACADEMY OF SCIENCES,2020-03-05,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX32615821,China,Asia,China,desert,Illumina HiSeq 2500,soil,40 N 106 E,MG_Sp3,PAIRED,RANDOM,METAGENOMIC,metagenome,ILLUMINA,missing,2026-03-24T00:00:00Z,2026-03-24T07:03:00Z,1,missing,missing,missing,MG_Sp3,missing,SRP686160
